C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_37_583.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_37_583.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_37_583.jpg,0,0,0,1.510695E-05
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_37_650.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_37_650.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_37_650.jpg,0,0,0,6.523773E-06
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_37_719.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_37_719.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_37_719.jpg,0,0,0,7.659691E-06
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_37_787.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_37_787.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_37_787.jpg,0,0,0,3.280927E-06
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_37_857.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_37_857.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_37_857.jpg,0,0,0,1.098386E-05
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_37_924.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_37_924.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_37_924.jpg,0,0,0,3.892382E-06
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_37_993.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_37_993.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_37_993.jpg,0,0,0,3.396371E-06
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_38_063.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_38_063.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_38_063.jpg,0,0,0,6.166899E-06
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_38_133.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_38_133.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_38_133.jpg,0,0,0,7.628829E-06
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_38_203.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_38_203.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_38_203.jpg,0,0,0,6.185694E-07
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_38_272.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_38_272.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_38_272.jpg,0,0,0,2.115828E-05
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_38_348.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_38_348.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_38_348.jpg,0,0,0,4.269352E-07
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_38_423.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_38_423.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_38_423.jpg,0,0.0769611,0,0.03107901
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_38_507.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_38_507.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_38_507.jpg,0,0.3017661,0,0.2298403
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_38_582.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_38_582.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_38_582.jpg,0,0.5464032,0,0.6600971
C:\Users\cttc\Desktop\image\IMG\center_2019_12_30_10_32_38_652.jpg,C:\Users\cttc\Desktop\image\IMG\left_2019_12_30_10_32_38_652.jpg,C:\Users\cttc\Desktop\image\IMG\right_2019_12_30_10_32_38_652.jpg,0,0.7886478,0,1.324336
